_id,awayTeam,homeTeam,competition,date,totalScores,home,away,firstQuarterAwayScore,firstQuarterHomeScore,secondQuarterAwayScore,secondQuarterHomeScore,thirdQuarterAwayScore,thirdQuarterHomeScore,fourthQuarterAwayScore,fourthQuarterHomeScore
489401947,Brooklyn Nets (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1699717200,175,103,72,14,27,22,27,16,22,20,27
490672305,Miami Heat (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700218800,207,102,105,21,30,26,22,26,25,32,25
490474362,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700140800,187,114,73,17,30,18,33,29,28,9,23
490455096,Atlanta Hawks (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700134800,213,103,110,35,16,26,27,23,28,26,32
490496168,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700148600,204,110,94,19,27,26,23,27,30,22,30
490448017,Boston Celtics (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700132400,177,73,104,28,19,32,15,22,18,22,21
490678088,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700220600,208,96,112,20,24,35,25,27,38,30,9
491676387,Miami Heat (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700586000,206,109,97,16,29,28,21,30,30,23,29
491635179,Milwaukee Bucks (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700571600,231,123,108,21,36,28,28,25,31,34,28
491622935,Brooklyn Nets (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700566800,197,102,95,24,28,31,21,20,29,20,24
491642203,New York Knicks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700574000,205,113,92,18,32,26,32,24,24,24,25
491684191,Boston Celtics (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700588400,225,109,116,30,22,25,21,27,33,34,33
491669085,Boston Celtics (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700583600,232,120,112,21,27,26,36,36,31,29,26
491649246,Miami Heat (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700576400,223,106,117,21,23,23,25,35,22,38,36
491692077,Brooklyn Nets (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700590800,200,104,96,29,27,24,24,25,23,18,30
491629332,New York Knicks (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700569200,205,100,105,26,26,26,31,23,18,30,25
491661656,Milwaukee Bucks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700581200,229,112,117,18,30,35,28,25,32,39,22
491616449,New York Knicks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700564400,198,97,101,22,29,27,22,21,18,31,28
491655538,Boston Celtics (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700578800,187,84,103,26,9,16,23,33,27,28,25
491833261,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700653200,195,94,101,22,24,29,25,22,22,28,23
492125776,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700763600,191,96,95,28,20,18,25,23,21,26,30
492075066,Milwaukee Bucks (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700746800,216,100,116,23,28,34,31,28,19,31,22
492132195,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700766000,197,119,78,17,32,18,34,28,26,15,27
492049312,Brooklyn Nets (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700737200,208,120,88,21,37,25,23,22,31,20,29
492151531,Milwaukee Bucks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700773200,226,104,122,23,32,33,26,38,22,28,24
492139122,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700768400,214,111,103,25,27,30,32,21,27,27,25
492089265,Atlanta Hawks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700751600,204,111,93,23,29,23,15,29,33,18,34
492062373,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700742000,219,102,117,24,18,34,32,29,25,30,27
492043464,New York Knicks (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700734800,218,113,105,29,26,27,30,28,14,21,43
491841205,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700655600,207,97,110,37,9,29,38,20,23,24,27
492118515,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700761200,204,109,95,27,28,29,25,22,27,17,29
492111132,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700758800,221,121,100,31,32,25,37,23,28,21,24
492095906,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700754000,197,105,92,30,32,23,19,26,26,13,28
492018013,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700725200,202,95,107,32,29,27,23,22,21,26,22
492013388,Atlanta Hawks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700722800,198,108,90,27,23,24,24,17,26,22,35
491826225,Brooklyn Nets (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700650800,215,111,104,27,32,26,28,24,21,27,30
491800060,Cleveland Cavaliers (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700641200,191,101,90,20,30,27,17,16,25,27,29
492055928,Brooklyn Nets (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700739600,196,105,91,27,25,20,26,28,32,16,22
492083040,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700749200,203,97,106,25,33,29,23,28,21,24,20
492023462,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700727600,196,101,95,28,15,26,27,19,32,22,27
491812932,Brooklyn Nets (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700646000,213,103,110,21,20,29,33,32,19,28,31
492068384,New York Knicks (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1700744400,223,114,109,29,15,26,42,20,30,34,27
491868545,Cleveland Cavaliers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700665200,202,107,95,24,28,23,29,21,28,27,22
491806087,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700643600,200,109,91,27,28,27,24,18,23,19,34
492037218,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700732400,196,96,100,24,28,26,18,29,24,21,26
491855322,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700660400,218,101,117,27,27,31,26,35,24,24,24
491847892,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700658000,195,100,95,24,31,25,21,27,24,19,24
491820017,Boston Celtics (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700648400,197,92,105,26,23,21,26,26,23,32,20
492103756,New York Knicks (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700756400,195,87,108,28,25,25,25,22,16,33,21
491861912,Atlanta Hawks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700662800,223,116,107,27,27,21,27,29,31,30,31
492030163,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700730000,196,103,93,17,29,25,25,26,19,25,30
492145911,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700770800,211,116,95,21,25,29,37,20,23,25,31
492157030,Brooklyn Nets (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700775600,212,108,104,25,29,21,25,28,25,30,29
492634309,Milwaukee Bucks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700938800,212,102,110,27,23,30,24,22,33,31,22
